Spool,Length_L_of_wire(m),Wire_Material,Resistivity(Ωm),B&S_Gauge_#,Diameter_d(m),Cross_Sectional_Area_A(m²),Theoretical_Resistance_R(Ω)
2,10,Copper,0.0000000168,28,0.000321,0.0000000809,0.208
5,10,Copper-Nickle,0.00000049,22,0.000644,0.000000326,0.92
